customer_id,province,city,occupation_code,account_age,birth_business_age,transaction_count_ABM,transaction_count_EFT,transaction_count_EMT,debit_transaction_count,debit_transaction_amount,credit_transaction_count,credit_transaction_amount,average_debit_transaction_amount,average_credit_transaction_amount,unique_transaction_cities,unique_transaction_provinces,multi_country_transactions,card_ecommerce_count,card_non_ecommerce_count,card_mcc_diversity_count,card_top_mcc_weight,card_top_mcc,abm_cash_count,Averagetime_between_transaction_day,std_time_between_transactions,median_time_between_transactions,pct_transactions_top10_busiest_days,cheque_user,western_union_user,wire_user
SYNID0100002163,other,other,RETIRED,25.03,77.11,5.0,26.0,33.0,236.0,11024750.51,38.0,2995719.0,46715.04453389831,78834.71052631579,42.0,11.0,1.0,33.0,171.0,38.0,0.1911764705882352,5814,5.0,0.3325313305521639,0.3746899622874641,0.1919444444444444,21.532846715328464,1.0,0.0,0.0
SYNID0100002187,other,other,UNEMPLOYED,21.82,39.62,4.0,19.0,0.0,31.0,235063.82,9.0,1045487.0,7582.703870967742,116165.22222222222,9.0,7.0,1.0,5.0,12.0,11.0,0.2352941176470588,5411,4.0,2.2285128798670466,2.2032896376496613,1.425138888888889,22.5,0.0,0.0,0.0
SYNID0100002198,AB,other,UNEMPLOYED,3.08,47.55,0.0,25.0,1.0,25.0,1053724.0,16.0,1662758.0,42148.96,103922.375,8.0,5.0,1.0,5.0,10.0,8.0,0.2666666666666666,5814,0.0,2.209449074074074,2.2313703638399724,1.2018692129629631,24.390243902439025,0.0,0.0,0.0
SYNID0100002385,ON,MISSISSAUGA,OTHER,8.18,27.29,0.0,38.0,3.0,37.0,667926.0,21.0,1514310.0,18052.054054054053,72110.0,10.0,7.0,1.0,4.0,13.0,12.0,0.1764705882352941,5310,0.0,1.5822096328784925,1.487902255817755,1.0561921296296295,20.689655172413797,0.0,0.0,0.0
SYNID0100002875,other,other,RETIRED,14.94,72.96,0.0,46.0,0.0,32.0,734437.0,15.0,1720627.0,22951.15625,114708.46666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,1.9628655897745573,2.5660384090573354,0.760642361111111,19.148936170212767,1.0,0.0,0.0
SYNID0100003249,other,other,OTHER,6.41,33.18,3.0,1.0,6.0,20.0,281207.35,2.0,5559.0,14060.367499999998,2779.5,7.0,5.0,1.0,3.0,9.0,10.0,0.1666666666666666,other,3.0,4.25409942680776,4.321763387597804,2.972847222222222,18.181818181818183,0.0,0.0,0.0
SYNID0100003319,ON,BARRIE,UNEMPLOYED,14.13,18.72,2.0,12.0,8.0,62.0,799348.7,8.0,470268.0,12892.720967741934,58783.5,21.0,9.0,1.0,8.0,40.0,19.0,0.1666666666666666,5411,1.0,1.2792882783145465,1.448251034662902,0.8706828703703704,24.285714285714285,0.0,0.0,0.0
SYNID0100003755,ON,other,STUDENT,2.46,31.41,4.0,6.0,12.0,47.0,315519.49,9.0,554625.0,6713.180638297872,61625.0,15.0,8.0,1.0,5.0,29.0,19.0,0.1764705882352941,5814,4.0,1.6189898989898988,1.5116261332483274,0.9961574074074074,21.428571428571427,0.0,0.0,0.0
SYNID0100004490,BC,SURREY,14100,4.14,33.37,1.0,11.0,6.0,27.0,212048.0,12.0,676008.0,7853.62962962963,56334.0,7.0,7.0,1.0,6.0,12.0,11.0,0.2222222222222222,5411,1.0,2.327801839668616,2.373429390280423,0.9797453703703703,17.94871794871795,1.0,0.0,0.0
SYNID0100004580,ON,other,OTHER,29.74,40.99,4.0,18.0,19.0,38.0,523447.0,20.0,1968659.0,13774.921052631578,98432.95,10.0,7.0,1.0,0.0,17.0,12.0,0.1764705882352941,5310,4.0,1.5686632959714102,1.3124468490969232,1.3472916666666668,22.41379310344828,0.0,0.0,0.0
SYNID0100004593,ON,other,UNEMPLOYED,4.9,55.14,0.0,14.0,42.0,318.0,3367978.0,28.0,931787.0,10591.125786163522,33278.107142857145,55.0,13.0,1.0,50.0,237.0,46.0,0.181184668989547,5814,0.0,0.2647555354267311,0.3105498896262789,0.1357407407407407,19.942196531791907,1.0,0.0,0.0
SYNID0100004629,ON,LONDON,SELF_EMPLOYED,25.69,43.26,0.0,0.0,17.0,7.0,138301.0,11.0,447024.0,19757.285714285717,40638.545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,4.612025462962963,5.442615654499806,2.341296296296296,16.666666666666664,1.0,0.0,0.0
SYNID0100004657,ON,WINDSOR,OTHER,9.61,45.76,0.0,22.0,6.0,13.0,573228.0,15.0,1260558.0,44094.46153846154,84037.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,3.19664823388203,3.775261210084291,1.292372685185185,14.285714285714285,0.0,0.0,0.0
SYNID0100004837,other,other,RETIRED,41.48,69.72,1.0,6.0,59.0,34.0,1114264.0,34.0,1682749.0,32772.470588235294,49492.617647058825,2.0,3.0,0.0,0.0,2.0,2.0,0.5,4121,1.0,1.3617853441127694,1.5452185848861368,0.7838888888888889,22.058823529411764,0.0,0.0,0.0
SYNID0100004848,other,other,STUDENT,1.28,21.78,0.0,0.0,1.0,78.0,681023.0,1.0,11161.0,8731.064102564103,11161.0,27.0,11.0,1.0,10.0,68.0,27.0,0.1666666666666666,5411,0.0,1.1228878798670463,1.0696553447883437,0.7943287037037037,20.253164556962027,0.0,0.0,0.0
SYNID0100005297,ON,MISSISSAUGA,OTHER,21.28,50.95,2.0,14.0,9.0,260.0,1755169.29,19.0,2413200.0,6750.651115384616,127010.52631578948,52.0,15.0,1.0,44.0,210.0,44.0,0.1614173228346456,5814,2.0,0.3287523314681588,0.3830765771184667,0.1733159722222222,21.14695340501792,0.0,0.0,0.0
SYNID0100005641,other,other,OTHER,25.97,55.91,2.0,28.0,1.0,36.0,327402.94,22.0,1739160.0,9094.52611111111,79052.72727272728,12.0,7.0,1.0,3.0,23.0,17.0,0.1538461538461538,5411,2.0,1.5840669671864849,1.3348188955711784,1.2388310185185183,24.13793103448276,1.0,0.0,0.0
SYNID0100005686,ON,SCARBOROUGH,RETIRED,33.29,78.66,3.0,1.0,1.0,17.0,65780.15,2.0,266331.0,3869.420588235294,133165.5,10.0,6.0,1.0,1.0,13.0,10.0,0.2142857142857142,5411,3.0,3.724332561728395,2.9150838820811558,3.783616898148148,21.052631578947366,0.0,0.0,0.0
SYNID0100005856,ON,BRAMPTON,RETIRED,33.75,95.1,0.0,46.0,9.0,40.0,1817684.0,33.0,3704645.0,45442.1,112261.9696969697,9.0,7.0,1.0,2.0,10.0,9.0,0.1666666666666666,5411,0.0,1.2719002379115227,1.4266068591009442,0.748923611111111,24.65753424657534,1.0,0.0,0.0
SYNID0100006155,other,other,OTHER,26.27,66.09,0.0,3.0,1.0,0.0,0.0,4.0,346039.0,0.0,86509.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,25.39576388888889,18.136139268453903,29.056273148148147,25.0,0.0,0.0,0.0
SYNID0100006219,ON,MISSISSAUGA,UNEMPLOYED,5.09,55.39,2.0,4.0,4.0,72.0,322313.0,7.0,328637.0,4476.569444444444,46948.142857142855,25.0,9.0,1.0,6.0,63.0,26.0,0.1594202898550724,5411,2.0,1.1435079831434,1.1637476647730816,0.8392476851851852,21.518987341772156,0.0,0.0,0.0
SYNID0100006262,ON,other,OTHER,1.78,38.77,0.0,21.0,10.0,41.0,532255.0,11.0,958170.0,12981.829268292682,87106.36363636363,11.0,6.0,1.0,2.0,18.0,13.0,0.2,5814,0.0,1.787032498184459,1.6690576511376949,1.0454050925925926,23.07692307692308,0.0,0.0,1.0
SYNID0100006348,ON,MARKHAM,OTHER,4.02,43.4,0.0,11.0,110.0,61.0,3495179.0,60.0,2369691.0,57298.016393442624,39494.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.7532282021604939,0.9122590639039307,0.5525983796296297,23.1404958677686,0.0,0.0,0.0
SYNID0100006667,other,other,OTHER,6.84,45.02,2.0,31.0,8.0,21.0,380777.0,22.0,2635289.0,18132.23809523809,119785.86363636365,2.0,2.0,1.0,0.0,2.0,2.0,0.5,5812,2.0,2.1035909942680777,2.382838705688461,1.0019791666666666,23.25581395348837,0.0,0.0,0.0
SYNID0100006800,AB,other,UNEMPLOYED,12.53,54.97,2.0,30.0,7.0,279.0,1787811.0,21.0,1727459.0,6407.924731182796,82259.95238095238,58.0,12.0,1.0,49.0,210.0,52.0,0.1776061776061776,5814,2.0,0.3069358122754862,0.3509590101070826,0.1703356481481481,22.0,1.0,0.0,0.0
SYNID0100006895,other,other,UNEMPLOYED,4.89,21.72,2.0,18.0,105.0,81.0,2288402.0,52.0,3292001.0,28251.87654320988,63307.71153846154,6.0,5.0,1.0,0.0,8.0,6.0,0.375,5411,2.0,0.6839023042929293,0.6997704958270488,0.4613310185185185,23.308270676691727,0.0,0.0,0.0
SYNID0100006941,other,other,OTHER,4.82,52.34,0.0,12.0,12.0,227.0,1952596.0,15.0,1061000.0,8601.74449339207,70733.33333333333,52.0,16.0,1.0,21.0,193.0,35.0,0.2009345794392523,5814,0.0,0.3736407906869525,0.4192694392975968,0.2063078703703703,25.206611570247933,1.0,0.0,0.0
SYNID0100007436,ON,BARRIE,STUDENT,2.85,21.54,0.0,47.0,5.0,38.0,1306935.0,23.0,1829440.0,34393.02631578947,79540.86956521739,7.0,5.0,1.0,0.0,9.0,7.0,0.2222222222222222,5310,0.0,1.5126651234567905,2.044985823744205,0.5626562500000001,26.229508196721312,0.0,0.0,0.0
SYNID0100007570,other,other,OTHER,4.91,36.23,0.0,15.0,6.0,173.0,1538520.0,17.0,1240298.0,8893.179190751445,72958.70588235294,40.0,14.0,1.0,28.0,138.0,35.0,0.144578313253012,5814,0.0,0.4833553791887125,0.5268970244256058,0.2837847222222222,20.526315789473685,1.0,0.0,0.0
SYNID0100007620,ON,BRAMPTON,UNEMPLOYED,19.52,47.55,2.0,29.0,33.0,60.0,1387805.0,37.0,6768757.0,23130.08333333333,182939.3783783784,7.0,8.0,1.0,3.0,22.0,14.0,0.2,5814,1.0,0.9479079861111112,1.0471863058282362,0.6469849537037037,24.742268041237114,1.0,0.0,0.0
SYNID0100007638,ON,other,UNEMPLOYED,2.93,29.54,0.0,5.0,1.0,3.0,188746.0,4.0,275928.0,62915.333333333336,68982.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,5411,0.0,9.567318672839503,7.1370543102468185,8.175260416666667,14.285714285714285,0.0,0.0,0.0
SYNID0100008358,ON,TORONTO,STUDENT,7.62,18.16,0.0,3.0,31.0,50.0,847911.0,14.0,422905.0,16958.22,30207.5,12.0,8.0,1.0,6.0,24.0,17.0,0.1666666666666666,5310,0.0,1.4291065917107584,1.677385706010626,0.8280902777777778,21.875,0.0,0.0,0.0
SYNID0100008611,ON,MARKHAM,60010,14.13,27.86,0.0,14.0,3.0,193.0,1693011.0,14.0,975649.0,8772.077720207253,69689.21428571429,51.0,12.0,1.0,31.0,159.0,43.0,0.1736842105263158,5814,0.0,0.4375970311938152,0.5227973000626216,0.2201851851851851,21.73913043478261,0.0,0.0,0.0
SYNID0100008961,QC,GATINEAU,STUDENT,2.21,21.96,0.0,16.0,31.0,41.0,886424.0,25.0,2794985.0,21620.09756097561,111799.4,12.0,8.0,1.0,2.0,16.0,10.0,0.1666666666666666,4121,0.0,1.3999871794871794,1.2636930634214716,1.2268287037037038,24.24242424242424,0.0,0.0,1.0
SYNID0100009174,NS,HALIFAX,OTHER,3.51,55.06,0.0,1.0,3.0,124.0,707623.0,3.0,63236.0,5706.637096774193,21078.666666666668,35.0,12.0,1.0,24.0,96.0,33.0,0.1916666666666666,5814,0.0,0.7187636868018812,0.8086072844218617,0.4536631944444445,23.62204724409449,1.0,0.0,0.0
SYNID0100009213,other,other,RETIRED,14.13,47.55,0.0,7.0,0.0,4.0,185533.0,3.0,59088.0,46383.25,19696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,11.67630015432099,9.512373612771595,10.64667824074074,28.57142857142857,0.0,0.0,0.0
SYNID0100009417,other,other,73300,14.13,47.55,0.0,4.0,18.0,14.0,581929.0,10.0,717836.0,41566.357142857145,71783.6,1.0,1.0,0.0,0.0,1.0,1.0,1.0,5310,0.0,3.755091586151369,3.38571080880456,2.1469328703703705,20.833333333333336,1.0,0.0,0.0
SYNID0100009470,BC,VANCOUVER,STUDENT,8.0,15.69,0.0,0.0,0.0,10.0,38063.0,0.0,0.0,3806.3,0.0,6.0,4.0,1.0,3.0,7.0,7.0,0.3,5814,0.0,4.453527520576132,2.7127163912291987,3.3336689814814813,10.0,0.0,0.0,0.0
SYNID0100009541,other,other,SELF_EMPLOYED,11.44,47.55,0.0,34.0,4.0,87.0,999092.0,19.0,2347200.0,11483.816091954022,123536.84210526316,25.0,11.0,1.0,9.0,59.0,26.0,0.2058823529411764,5814,0.0,0.8664358465608466,0.9294395941754032,0.6051273148148149,20.75471698113208,0.0,0.0,0.0
SYNID0100009578,BC,SURREY,OTHER,2.92,62.26,15.0,7.0,7.0,135.0,1267573.23,12.0,354038.28,9389.431333333334,29503.19,32.0,12.0,1.0,11.0,103.0,35.0,0.1842105263157894,5814,12.0,0.6233621892440385,0.5897620654119875,0.4789525462962963,21.08843537414966,1.0,0.0,0.0
SYNID0100009762,ON,MARKHAM,RETIRED,21.51,71.75,1.0,20.0,14.0,41.0,563215.0,20.0,1983598.0,13736.951219512195,99179.9,15.0,7.0,1.0,6.0,20.0,14.0,0.1923076923076923,5814,1.0,1.5231811342592594,1.5190038267718022,1.218327546296296,21.311475409836063,0.0,0.0,0.0
SYNID0100009956,BC,VANCOUVER,RETIRED,14.13,86.93,0.0,5.0,0.0,91.0,839750.0,7.0,945929.0,9228.021978021978,135132.7142857143,33.0,10.0,1.0,10.0,81.0,26.0,0.2087912087912088,5814,0.0,0.9396138793432608,0.9126399040514764,0.7930208333333333,25.51020408163265,1.0,0.0,0.0
SYNID0100010089,ON,other,STUDENT,6.64,26.18,0.0,15.0,12.0,16.0,683887.0,11.0,736925.0,42742.9375,66993.18181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,3.390648593304844,2.6775669048039163,2.9502256944444447,14.814814814814811,0.0,0.0,0.0
SYNID0100010329,ON,other,10019,13.37,46.25,0.0,27.0,23.0,34.0,694415.0,21.0,1915053.0,20423.970588235294,91193.0,4.0,3.0,1.0,0.0,5.0,3.0,0.4,5542,0.0,1.6717496141975308,1.8206254054195423,1.0893344907407407,21.818181818181817,0.0,0.0,0.0
SYNID0100010571,other,other,10019,19.13,52.73,0.0,16.0,8.0,155.0,1144587.0,15.0,997494.0,7384.432258064516,66499.6,35.0,11.0,1.0,28.0,115.0,40.0,0.1538461538461538,5814,0.0,0.5388640285996056,0.5410392992036369,0.3808564814814815,22.35294117647059,1.0,0.0,0.0
SYNID0100010698,ON,BRAMPTON,RETIRED,28.48,63.43,12.0,129.0,47.0,187.0,2683067.39,94.0,5689471.0,14347.953957219252,60526.28723404255,30.0,13.0,1.0,20.0,73.0,29.0,0.1612903225806451,5814,12.0,0.3245968088624338,0.4183755313666305,0.1875752314814814,22.77580071174377,0.0,0.0,0.0
SYNID0100011209,other,other,SELF_EMPLOYED,14.17,23.7,11.0,7.0,45.0,85.0,535384.79,35.0,1030122.0,6298.644588235295,29432.057142857146,25.0,9.0,1.0,11.0,45.0,24.0,0.2142857142857142,5814,10.0,0.7667189931528167,0.7627605986953255,0.6019097222222223,25.833333333333336,1.0,0.0,0.0
SYNID0100011315,other,other,STUDENT,4.39,19.24,9.0,13.0,9.0,291.0,2297992.89,16.0,522595.26,7896.882783505155,32662.20375,60.0,13.0,1.0,46.0,226.0,44.0,0.1470588235294117,5814,9.0,0.297896998305495,0.3687255319176602,0.1463078703703703,22.149837133550488,1.0,0.0,0.0
SYNID0100011481,AB,EDMONTON,OTHER,20.23,42.28,1.0,3.0,26.0,104.0,1148941.0,14.0,1262709.0,11047.509615384615,90193.5,24.0,13.0,1.0,9.0,79.0,33.0,0.1363636363636363,5814,0.0,0.7798304447610003,0.8068207330910986,0.5405324074074074,23.728813559322035,0.0,0.0,0.0
SYNID0100011849,BC,SURREY,OTHER,15.38,35.45,2.0,11.0,7.0,12.0,178826.0,12.0,1377908.0,14902.166666666666,114825.66666666669,3.0,4.0,1.0,1.0,3.0,4.0,0.25,5411,2.0,3.720747785829308,4.315691582231279,1.8656944444444443,25.0,0.0,0.0,0.0
SYNID0100012045,AB,EDMONTON,65100,25.02,62.12,1.0,21.0,0.0,52.0,197238.01,16.0,1415963.0,3793.038653846154,88497.6875,19.0,9.0,1.0,4.0,42.0,20.0,0.217391304347826,5814,1.0,1.315071862907684,1.5951179788730188,0.7515393518518518,27.94117647058824,0.0,0.0,0.0
SYNID0100012111,NB,other,11100,1.45,35.71,7.0,34.0,2.0,124.0,776757.39,22.0,2090785.0,6264.1725,95035.68181818182,34.0,11.0,1.0,16.0,86.0,26.0,0.2549019607843137,5814,6.0,0.6281668263090677,0.6023867013507701,0.4751736111111111,23.28767123287671,1.0,0.0,0.0
SYNID0100012205,BC,VANCOUVER,95109,14.13,45.4,1.0,19.0,6.0,77.0,771092.0,14.0,635051.0,10014.181818181818,45360.78571428572,23.0,10.0,1.0,10.0,55.0,28.0,0.1384615384615384,5814,1.0,0.9951610082304526,1.126428220139153,0.669068287037037,23.07692307692308,0.0,0.0,0.0
SYNID0100012410,BC,VANCOUVER,OTHER,25.36,57.61,1.0,7.0,54.0,53.0,1240577.0,33.0,1816805.0,23407.11320754717,55054.69696969697,10.0,5.0,1.0,1.0,20.0,11.0,0.238095238095238,5814,1.0,1.0786120642701529,1.2387517072575178,0.6372337962962963,24.418604651162788,1.0,0.0,0.0
SYNID0100012464,other,other,SELF_EMPLOYED,18.67,30.72,2.0,6.0,14.0,22.0,321983.0,8.0,523180.0,14635.59090909091,65397.5,6.0,4.0,1.0,0.0,7.0,4.0,0.4285714285714285,5411,2.0,3.048237148786718,3.0327540994429314,2.0604976851851853,20.0,1.0,0.0,0.0
SYNID0100012512,other,other,RETIRED,28.29,76.11,12.0,21.0,15.0,122.0,1057691.29,21.0,1012606.0,8669.600737704919,48219.333333333336,32.0,12.0,1.0,14.0,81.0,24.0,0.1789473684210526,5411,11.0,0.6419321368022952,0.6340311397796847,0.4415277777777778,25.174825174825177,0.0,0.0,0.0
SYNID0100012539,BC,VANCOUVER,OTHER,26.33,68.52,0.0,1.0,5.0,4.0,38915.0,3.0,336708.0,9728.75,112236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,12.949502314814817,8.169063656571009,11.649467592592591,14.285714285714285,1.0,0.0,0.0
SYNID0100013163,AB,CALGARY,10019,3.26,27.2,0.0,17.0,15.0,172.0,1293156.0,20.0,1828951.0,7518.3488372093025,91447.55,37.0,10.0,1.0,18.0,139.0,35.0,0.2101910828025477,5814,0.0,0.4779454503587357,0.5433344789062158,0.2891435185185185,22.395833333333336,1.0,0.0,0.0
SYNID0100013722,other,other,OTHER,28.54,64.54,0.0,26.0,0.0,81.0,542271.0,25.0,2365359.0,6694.703703703704,94614.36,25.0,12.0,1.0,19.0,57.0,26.0,0.1842105263157894,5814,0.0,0.8726143077601412,0.9751343681615016,0.6315509259259259,22.641509433962263,1.0,0.0,0.0
SYNID0100013886,ON,BRAMPTON,STUDENT,1.5,20.44,0.0,0.0,15.0,360.0,2893685.0,6.0,684984.0,8038.013888888889,114164.0,65.0,13.0,1.0,30.0,321.0,50.0,0.1709401709401709,5814,0.0,0.2493435755961441,0.3007975552573995,0.1230555555555555,18.5792349726776,0.0,0.0,0.0
SYNID0100014085,other,other,OTHER,21.69,53.07,5.0,22.0,4.0,54.0,707385.02,15.0,1134264.0,13099.722592592592,75617.6,15.0,7.0,1.0,5.0,30.0,16.0,0.2,5814,5.0,1.3451281658496732,1.3168191664245852,0.8695081018518519,21.73913043478261,1.0,0.0,0.0
SYNID0100014233,MB,WINNIPEG,OTHER,20.94,49.98,4.0,13.0,12.0,131.0,1417141.39,17.0,1025222.0,10817.873206106871,60307.17647058824,33.0,11.0,1.0,14.0,101.0,37.0,0.1826086956521739,5814,4.0,0.6063868417737466,0.6657500514546227,0.4795254629629629,25.675675675675677,1.0,0.0,0.0
SYNID0100014489,ON,other,STUDENT,7.43,22.63,1.0,24.0,2.0,31.0,233754.45,17.0,1277191.0,7540.466129032258,75128.88235294117,13.0,5.0,1.0,3.0,18.0,14.0,0.1904761904761904,5814,1.0,1.8931858254531129,1.95770924284886,1.3465162037037035,22.916666666666664,0.0,0.0,0.0
SYNID0100014795,BC,other,OTHER,3.59,25.68,0.0,0.0,12.0,8.0,188626.0,4.0,295763.0,23578.25,73940.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,5.843661616161617,4.050722396316531,5.128043981481482,16.666666666666664,0.0,0.0,0.0
SYNID0100014851,other,other,65100,25.59,47.55,2.0,23.0,0.0,192.0,1121796.64,15.0,1592531.0,5842.690833333333,106168.73333333334,49.0,15.0,1.0,31.0,151.0,38.0,0.1593406593406593,5814,2.0,0.4435644777058612,0.5185155075654618,0.237037037037037,19.806763285024157,0.0,0.0,0.0
SYNID0100015045,ON,BRAMPTON,OTHER,32.01,75.6,1.0,26.0,2.0,162.0,1461383.0,13.0,994216.0,9020.882716049382,76478.15384615384,39.0,13.0,1.0,24.0,122.0,37.0,0.2191780821917808,5814,1.0,0.5249109328437633,0.5380947685444528,0.3214872685185185,22.285714285714285,0.0,0.0,0.0
SYNID0100015109,other,other,65100,28.73,53.76,19.0,16.0,28.0,79.0,1128512.62,18.0,1846382.69,14284.969873417724,102576.81611111113,15.0,9.0,1.0,5.0,27.0,19.0,0.15625,5814,18.0,0.9389442274305556,0.9381707499160848,0.7942245370370371,21.649484536082475,1.0,0.0,0.0
SYNID0100015225,ON,other,UNEMPLOYED,19.88,45.72,0.0,8.0,0.0,3.0,871306.0,5.0,744467.0,290435.3333333333,148893.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,11.285787037037036,8.744638072207731,13.649409722222222,25.0,0.0,0.0,0.0
SYNID0100015975,ON,other,SELF_EMPLOYED,7.03,48.65,0.0,0.0,3.0,5.0,49913.0,5.0,159592.0,9982.6,31918.4,2.0,2.0,0.0,1.0,1.0,2.0,0.5,4816,0.0,7.620547839506173,9.325886039449513,5.169895833333333,20.0,1.0,0.0,0.0
SYNID0100016064,ON,other,STUDENT,4.91,15.43,0.0,0.0,8.0,3.0,120949.0,5.0,324622.0,40316.333333333336,64924.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,12.23525958994709,6.240160033908139,13.90417824074074,12.5,0.0,0.0,0.0
SYNID0100016314,other,other,RETIRED,11.01,89.38,1.0,7.0,0.0,9.0,224453.0,4.0,371397.0,24939.222222222223,92849.25,4.0,4.0,0.0,1.0,3.0,4.0,0.25,5310,1.0,6.134677854938271,5.238102045746516,5.043431712962963,23.07692307692308,1.0,0.0,0.0
SYNID0100016895,other,other,RETIRED,25.07,64.62,1.0,7.0,29.0,236.0,1408511.85,24.0,712651.0,5968.270550847458,29693.791666666668,48.0,14.0,1.0,35.0,187.0,43.0,0.1486486486486486,5814,1.0,0.3549593343343343,0.374029005034888,0.216412037037037,23.46153846153846,1.0,0.0,0.0
SYNID0100017219,ON,other,RETIRED,26.48,67.94,4.0,13.0,26.0,83.0,1032539.75,25.0,13065922.33,12440.237951807228,522636.8932,16.0,9.0,1.0,11.0,52.0,24.0,0.1746031746031746,5411,2.0,0.8537448078920041,0.8818286257838923,0.6629282407407407,25.0,1.0,0.0,0.0
SYNID0100017804,QC,GATINEAU,UNEMPLOYED,1.12,32.41,0.0,14.0,0.0,5.0,80210.0,9.0,1077870.0,16042.0,119763.33333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,6.610866274928775,5.651831211051909,5.812881944444444,28.57142857142857,0.0,0.0,0.0
