customer_id,kyc_type,province,city,industry_code,occupation_code,sales_cents,account_age,birth_business_age,total_transaction_count,transaction_count_ABM,transaction_count_Card,transaction_count_Cheque,transaction_count_EFT,transaction_count_EMT,transaction_count_Western Union,transaction_count_Wire,debit_transaction_count,debit_transaction_amount,credit_transaction_count,credit_transaction_amount,average_debit_transaction_amount,average_credit_transaction_amount,unique_transaction_cities,unique_transaction_provinces,multi_country_transactions,card_transaction_count,card_ecommerce_count,card_non_ecommerce_count,card_ecommerce_to_nonecommerce_ratio,card_mcc_diversity_count,card_top_mcc_weight,card_top_mcc,card_second_mcc,abm_transaction_count,abm_cash_count,abm_non_cash_count,abm_cash_to_non_cash_ratio,Debit_Amount_Total,Credit_Amount_Total,Averagetime_between_alltransaction,std_time_between_transactions,median_time_between_transactions,pct_transactions_top10_busiest_days
SYNID0100002163,individual,other,other,,RETIRED,,25.03,77.11,274,5,204,6,26,33,0,0,236.0,11024750.51,38.0,2995719.0,46715.044533898305,78834.71052631579,42,11,1,204.0,33.0,171.0,0.19298245614035087,38.0,0.19117647058823528,5814,5411,5.0,5.0,0.0,,11024750.51,2995719.0,0.3325313305521639,0.37468996228746415,0.19194444444444445,21.532846715328464
SYNID0100002187,individual,other,other,,UNEMPLOYED,,21.82,39.62,40,4,17,0,19,0,0,0,31.0,235063.82,9.0,1045487.0,7582.703870967742,116165.22222222222,9,7,1,17.0,5.0,12.0,0.4166666666666667,11.0,0.23529411764705882,5411,5541,4.0,4.0,0.0,,235063.82,1045487.0,2.2285128798670466,2.2032896376496613,1.425138888888889,22.5
SYNID0100002198,individual,AB,LEDUC,,UNEMPLOYED,,3.08,,41,0,15,0,25,1,0,0,25.0,1053724.0,16.0,1662758.0,42148.96,103922.375,8,5,1,15.0,5.0,10.0,0.5,8.0,0.26666666666666666,5814,4816,,,,,1053724.0,1662758.0,2.209449074074074,2.2313703638399724,1.2018692129629631,24.390243902439025
SYNID0100002385,individual,ON,MISSISSAUGA,,OTHER,,8.18,27.29,58,0,17,0,38,3,0,0,37.0,667926.0,21.0,1514310.0,18052.054054054053,72110.0,10,7,1,17.0,4.0,13.0,0.3076923076923077,12.0,0.17647058823529413,5310,5921,,,,,667926.0,1514310.0,1.5822096328784925,1.487902255817755,1.0561921296296297,20.689655172413794
SYNID0100002875,individual,other,other,,RETIRED,,14.94,72.96,47,0,0,1,46,0,0,0,32.0,734437.0,15.0,1720627.0,22951.15625,114708.46666666666,0,0,0,,,,,,,,,,,,,734437.0,1720627.0,1.9628655897745573,2.5660384090573354,0.760642361111111,19.148936170212767
SYNID0100003249,individual,other,other,,75200,,6.41,33.18,22,3,12,0,1,6,0,0,20.0,281207.35,2.0,5559.0,14060.367499999998,2779.5,7,5,1,12.0,3.0,9.0,0.3333333333333333,10.0,0.16666666666666666,5300,5968,3.0,3.0,0.0,,281207.35,5559.0,4.25409942680776,4.321763387597804,2.972847222222222,18.181818181818183
SYNID0100003319,individual,ON,BARRIE,,UNEMPLOYED,,,18.72,70,2,48,0,12,8,0,0,62.0,799348.7,8.0,470268.0,12892.720967741934,58783.5,21,9,1,48.0,8.0,40.0,0.2,19.0,0.16666666666666666,5411,5541,2.0,1.0,1.0,1.0,799348.7,470268.0,1.2792882783145463,1.448251034662902,0.8706828703703704,24.285714285714285
SYNID0100003755,individual,ON,WOODBRIDGE,,STUDENT,,2.46,31.41,56,4,34,0,6,12,0,0,47.0,315519.49,9.0,554625.0,6713.180638297872,61625.0,15,8,1,34.0,5.0,29.0,0.1724137931034483,19.0,0.17647058823529413,5814,5411,4.0,4.0,0.0,,315519.49,554625.0,1.6189898989898988,1.5116261332483274,0.9961574074074074,21.428571428571427
SYNID0100004490,individual,BC,SURREY,,14100,,4.14,33.37,39,1,18,3,11,6,0,0,27.0,212048.0,12.0,676008.0,7853.62962962963,56334.0,7,7,1,18.0,6.0,12.0,0.5,11.0,0.2222222222222222,5411,5542,1.0,1.0,0.0,,212048.0,676008.0,2.327801839668616,2.373429390280423,0.9797453703703703,17.94871794871795
SYNID0100004580,individual,ON,ST CATHARINES,,63101,,29.74,40.99,58,4,17,0,18,19,0,0,38.0,523447.0,20.0,1968659.0,13774.921052631578,98432.95,10,7,1,17.0,0.0,17.0,0.0,12.0,0.17647058823529413,5310,0,4.0,4.0,0.0,,523447.0,1968659.0,1.5686632959714102,1.3124468490969232,1.3472916666666668,22.413793103448278
SYNID0100004593,individual,ON,CARLETON PLACE,,UNEMPLOYED,,4.9,55.14,346,0,287,3,14,42,0,0,318.0,3367978.0,28.0,931787.0,10591.125786163522,33278.107142857145,55,13,1,287.0,50.0,237.0,0.2109704641350211,46.0,0.18118466898954705,5814,5411,,,,,3367978.0,931787.0,0.2647555354267311,0.3105498896262789,0.13574074074074075,19.942196531791907
SYNID0100004629,individual,ON,LONDON,,SELF_EMPLOYED,,25.69,43.26,18,0,0,1,0,17,0,0,7.0,138301.0,11.0,447024.0,19757.285714285714,40638.545454545456,0,0,0,,,,,,,,,,,,,138301.0,447024.0,4.612025462962963,5.442615654499806,2.341296296296296,16.666666666666664
SYNID0100004657,individual,ON,WINDSOR,,OTHER,,9.61,45.76,28,0,0,0,22,6,0,0,13.0,573228.0,15.0,1260558.0,44094.46153846154,84037.2,0,0,0,,,,,,,,,,,,,573228.0,1260558.0,3.19664823388203,3.775261210084291,1.292372685185185,14.285714285714285
SYNID0100004837,individual,other,other,,RETIRED,,41.48,69.72,68,1,2,0,6,59,0,0,34.0,1114264.0,34.0,1682749.0,32772.470588235294,49492.617647058825,2,3,0,2.0,0.0,2.0,0.0,2.0,0.5,4121,5814,1.0,1.0,0.0,,1114264.0,1682749.0,1.3617853441127694,1.5452185848861368,0.7838888888888889,22.058823529411764
SYNID0100004848,individual,other,other,,STUDENT,,1.28,21.78,79,0,78,0,0,1,0,0,78.0,681023.0,1.0,11161.0,8731.064102564103,11161.0,27,11,1,78.0,10.0,68.0,0.14705882352941177,27.0,0.16666666666666666,5411,5814,,,,,681023.0,11161.0,1.1228878798670465,1.0696553447883437,0.7943287037037037,20.253164556962027
SYNID0100005297,individual,ON,MISSISSAUGA,,75200,,21.28,50.95,279,2,254,0,14,9,0,0,260.0,1755169.29,19.0,2413200.0,6750.651115384616,127010.52631578948,52,15,1,254.0,44.0,210.0,0.20952380952380953,44.0,0.16141732283464566,5814,5411,2.0,2.0,0.0,,1755169.29,2413200.0,0.3287523314681588,0.3830765771184667,0.17331597222222223,21.14695340501792
SYNID0100005641,individual,other,other,,21321,,25.97,55.91,58,2,26,1,28,1,0,0,36.0,327402.94,22.0,1739160.0,9094.52611111111,79052.72727272728,12,7,1,26.0,3.0,23.0,0.13043478260869565,17.0,0.15384615384615385,5411,5310,2.0,2.0,0.0,,327402.94,1739160.0,1.5840669671864847,1.3348188955711784,1.2388310185185185,24.137931034482758
SYNID0100005686,individual,ON,SCARBOROUGH,,RETIRED,,33.29,78.66,19,3,14,0,1,1,0,0,17.0,65780.15,2.0,266331.0,3869.420588235294,133165.5,10,6,1,14.0,1.0,13.0,0.07692307692307693,10.0,0.21428571428571427,5411,5814,3.0,3.0,0.0,,65780.15,266331.0,3.724332561728395,2.9150838820811553,3.783616898148148,21.052631578947366
SYNID0100005856,individual,ON,BRAMPTON,,RETIRED,,33.75,95.1,73,0,12,6,46,9,0,0,40.0,1817684.0,33.0,3704645.0,45442.1,112261.9696969697,9,7,1,12.0,2.0,10.0,0.2,9.0,0.16666666666666666,5411,5812,,,,,1817684.0,3704645.0,1.2719002379115227,1.4266068591009442,0.748923611111111,24.65753424657534
SYNID0100006155,individual,other,other,,OTHER,,26.27,66.09,4,0,0,0,3,1,0,0,,,4.0,346039.0,,86509.75,0,0,0,,,,,,,,,,,,,,346039.0,25.39576388888889,18.136139268453906,29.056273148148147,25.0
SYNID0100006219,individual,ON,MISSISSAUGA,,UNEMPLOYED,,5.09,55.39,79,2,69,0,4,4,0,0,72.0,322313.0,7.0,328637.0,4476.569444444444,46948.142857142855,25,9,1,69.0,6.0,63.0,0.09523809523809523,26.0,0.15942028985507245,5411,5814,2.0,2.0,0.0,,322313.0,328637.0,1.1435079831433999,1.1637476647730816,0.8392476851851852,21.518987341772153
SYNID0100006262,individual,ON,GUELPH,,OTHER,,1.78,38.77,52,0,20,0,21,10,0,1,41.0,532255.0,11.0,958170.0,12981.829268292682,87106.36363636363,11,6,1,20.0,2.0,18.0,0.1111111111111111,13.0,0.2,5814,0,,,,,532255.0,958170.0,1.787032498184459,1.6690576511376949,1.0454050925925926,23.076923076923077
SYNID0100006348,individual,ON,MARKHAM,,OTHER,,4.02,43.4,121,0,0,0,11,110,0,0,61.0,3495179.0,60.0,2369691.0,57298.016393442624,39494.85,0,0,0,,,,,,,,,,,,,3495179.0,2369691.0,0.7532282021604939,0.9122590639039309,0.5525983796296297,23.140495867768596
SYNID0100006667,individual,other,other,,22220,,6.84,45.02,43,2,2,0,31,8,0,0,21.0,380777.0,22.0,2635289.0,18132.238095238095,119785.86363636363,2,2,1,2.0,0.0,2.0,0.0,2.0,0.5,5812,5921,2.0,2.0,0.0,,380777.0,2635289.0,2.1035909942680777,2.382838705688461,1.0019791666666666,23.25581395348837
SYNID0100006800,individual,AB,other,,UNEMPLOYED,,12.53,54.97,300,2,259,2,30,7,0,0,279.0,1787811.0,21.0,1727459.0,6407.924731182796,82259.95238095238,58,12,1,259.0,49.0,210.0,0.23333333333333334,52.0,0.1776061776061776,5814,5411,2.0,2.0,0.0,,1787811.0,1727459.0,0.3069358122754862,0.3509590101070826,0.17033564814814814,22.0
SYNID0100006895,individual,other,other,,UNEMPLOYED,,4.89,21.72,133,2,8,0,18,105,0,0,81.0,2288402.0,52.0,3292001.0,28251.876543209877,63307.71153846154,6,5,1,8.0,0.0,8.0,0.0,6.0,0.375,5411,5310,2.0,2.0,0.0,,2288402.0,3292001.0,0.6839023042929293,0.6997704958270488,0.46133101851851854,23.308270676691727
SYNID0100006941,individual,other,other,,OTHER,,4.82,52.34,242,0,214,4,12,12,0,0,227.0,1952596.0,15.0,1061000.0,8601.74449339207,70733.33333333333,52,16,1,214.0,21.0,193.0,0.10880829015544041,35.0,0.20093457943925233,5814,5411,,,,,1952596.0,1061000.0,0.3736407906869525,0.4192694392975968,0.20630787037037038,25.206611570247933
SYNID0100007436,individual,ON,BARRIE,,STUDENT,,2.85,21.54,61,0,9,0,47,5,0,0,38.0,1306935.0,23.0,1829440.0,34393.02631578947,79540.86956521739,7,5,1,9.0,0.0,9.0,0.0,7.0,0.2222222222222222,5310,5814,,,,,1306935.0,1829440.0,1.5126651234567903,2.044985823744205,0.5626562500000001,26.229508196721312
SYNID0100007570,individual,other,other,,OTHER,,4.91,36.23,190,0,166,3,15,6,0,0,173.0,1538520.0,17.0,1240298.0,8893.179190751445,72958.70588235294,40,14,1,166.0,28.0,138.0,0.2028985507246377,35.0,0.14457831325301204,5814,5411,,,,,1538520.0,1240298.0,0.4833553791887125,0.5268970244256058,0.28378472222222223,20.526315789473685
SYNID0100007620,individual,ON,BRAMPTON,,UNEMPLOYED,,19.52,,97,2,25,8,29,33,0,0,60.0,1387805.0,37.0,6768757.0,23130.083333333332,182939.37837837837,7,8,1,25.0,3.0,22.0,0.13636363636363635,14.0,0.2,5814,5310,2.0,1.0,1.0,1.0,1387805.0,6768757.0,0.9479079861111112,1.0471863058282362,0.6469849537037037,24.742268041237114
SYNID0100007638,individual,ON,THUNDER BAY,,UNEMPLOYED,,2.93,29.54,7,0,1,0,5,1,0,0,3.0,188746.0,4.0,275928.0,62915.333333333336,68982.0,1,1,0,1.0,0.0,1.0,0.0,1.0,1.0,5411,,,,,,188746.0,275928.0,9.567318672839505,7.1370543102468185,8.175260416666667,14.285714285714285
SYNID0100008358,individual,ON,TORONTO,,STUDENT,,7.62,18.16,64,0,30,0,3,31,0,0,50.0,847911.0,14.0,422905.0,16958.22,30207.5,12,8,1,30.0,6.0,24.0,0.25,17.0,0.16666666666666666,5310,5814,,,,,847911.0,422905.0,1.4291065917107584,1.677385706010626,0.8280902777777778,21.875
SYNID0100008611,individual,ON,MARKHAM,,60010,,,27.86,207,0,190,0,14,3,0,0,193.0,1693011.0,14.0,975649.0,8772.077720207253,69689.21428571429,51,12,1,190.0,31.0,159.0,0.1949685534591195,43.0,0.1736842105263158,5814,5411,,,,,1693011.0,975649.0,0.4375970311938152,0.5227973000626216,0.22018518518518518,21.73913043478261
SYNID0100008961,individual,QC,GATINEAU,,STUDENT,,2.21,21.96,66,0,18,0,16,31,0,1,41.0,886424.0,25.0,2794985.0,21620.09756097561,111799.4,12,8,1,18.0,2.0,16.0,0.125,10.0,0.16666666666666666,4121,5411,,,,,886424.0,2794985.0,1.3999871794871794,1.2636930634214716,1.2268287037037038,24.242424242424242
SYNID0100009174,individual,NS,HALIFAX,,OTHER,,3.51,55.06,127,0,120,3,1,3,0,0,124.0,707623.0,3.0,63236.0,5706.637096774193,21078.666666666668,35,12,1,120.0,24.0,96.0,0.25,33.0,0.19166666666666668,5814,5812,,,,,707623.0,63236.0,0.7187636868018812,0.8086072844218617,0.4536631944444445,23.62204724409449
SYNID0100009213,individual,other,other,,RETIRED,,,,7,0,0,0,7,0,0,0,4.0,185533.0,3.0,59088.0,46383.25,19696.0,0,0,0,,,,,,,,,,,,,185533.0,59088.0,11.67630015432099,9.512373612771595,10.64667824074074,28.57142857142857
SYNID0100009417,individual,other,other,,73300,,,,24,0,1,1,4,18,0,0,14.0,581929.0,10.0,717836.0,41566.357142857145,71783.6,1,1,0,1.0,0.0,1.0,0.0,1.0,1.0,5310,,,,,,581929.0,717836.0,3.755091586151369,3.3857108088045598,2.1469328703703705,20.833333333333336
SYNID0100009470,individual,BC,VANCOUVER,,STUDENT,,8.0,15.69,10,0,10,0,0,0,0,0,10.0,38063.0,,,3806.3,,6,4,1,10.0,3.0,7.0,0.42857142857142855,7.0,0.3,5814,5310,,,,,38063.0,,4.453527520576132,2.7127163912291987,3.3336689814814813,10.0
SYNID0100009541,individual,other,other,,SELF_EMPLOYED,,11.44,,106,0,68,0,34,4,0,0,87.0,999092.0,19.0,2347200.0,11483.816091954022,123536.84210526316,25,11,1,68.0,9.0,59.0,0.15254237288135594,26.0,0.20588235294117646,5814,5411,,,,,999092.0,2347200.0,0.8664358465608466,0.9294395941754032,0.6051273148148149,20.754716981132077
SYNID0100009578,individual,BC,SURREY,,41101,,2.92,62.26,147,15,114,4,7,7,0,0,135.0,1267573.23,12.0,354038.28,9389.431333333334,29503.190000000002,32,12,1,114.0,11.0,103.0,0.10679611650485436,35.0,0.18421052631578946,5814,5411,15.0,12.0,3.0,4.0,1267573.23,354038.28,0.6233621892440385,0.5897620654119875,0.47895254629629636,21.08843537414966
SYNID0100009762,individual,ON,MARKHAM,,RETIRED,,21.51,71.75,61,1,26,0,20,14,0,0,41.0,563215.0,20.0,1983598.0,13736.951219512195,99179.9,15,7,1,26.0,6.0,20.0,0.3,14.0,0.19230769230769232,5814,5812,1.0,1.0,0.0,,563215.0,1983598.0,1.5231811342592594,1.5190038267718022,1.2183275462962961,21.311475409836063
SYNID0100009956,individual,BC,VANCOUVER,,RETIRED,,,86.93,98,0,91,2,5,0,0,0,91.0,839750.0,7.0,945929.0,9228.021978021978,135132.7142857143,33,10,1,91.0,10.0,81.0,0.12345679012345678,26.0,0.2087912087912088,5814,5411,,,,,839750.0,945929.0,0.9396138793432609,0.9126399040514763,0.7930208333333333,25.510204081632654
SYNID0100010089,individual,ON,OSHAWA,,STUDENT,,6.64,26.18,27,0,0,0,15,12,0,0,16.0,683887.0,11.0,736925.0,42742.9375,66993.18181818182,0,0,0,,,,,,,,,,,,,683887.0,736925.0,3.3906485933048436,2.6775669048039163,2.9502256944444447,14.814814814814813
SYNID0100010329,individual,ON,AURORA,,10019,,13.37,46.25,55,0,5,0,27,23,0,0,34.0,694415.0,21.0,1915053.0,20423.970588235294,91193.0,4,3,1,5.0,0.0,5.0,0.0,3.0,0.4,5542,5814,,,,,694415.0,1915053.0,1.6717496141975308,1.8206254054195423,1.0893344907407407,21.818181818181817
SYNID0100010571,individual,other,other,,10019,,19.13,52.73,170,0,143,3,16,8,0,0,155.0,1144587.0,15.0,997494.0,7384.432258064516,66499.6,35,11,1,143.0,28.0,115.0,0.24347826086956523,40.0,0.15384615384615385,5814,5411,,,,,1144587.0,997494.0,0.5388640285996056,0.5410392992036369,0.3808564814814815,22.35294117647059
SYNID0100010698,individual,ON,BRAMPTON,,RETIRED,,28.48,63.43,281,12,93,0,129,47,0,0,187.0,2683067.39,94.0,5689471.0,14347.953957219252,60526.28723404255,30,13,1,93.0,20.0,73.0,0.273972602739726,29.0,0.16129032258064516,5814,5812,12.0,12.0,0.0,,2683067.39,5689471.0,0.32459680886243386,0.4183755313666305,0.18757523148148147,22.77580071174377
SYNID0100011209,individual,other,other,,SELF_EMPLOYED,,14.17,23.7,120,11,56,1,7,45,0,0,85.0,535384.79,35.0,1030122.0,6298.644588235295,29432.057142857142,25,9,1,56.0,11.0,45.0,0.24444444444444444,24.0,0.21428571428571427,5814,5411,11.0,10.0,1.0,10.0,535384.79,1030122.0,0.7667189931528167,0.7627605986953255,0.6019097222222223,25.833333333333336
SYNID0100011315,individual,other,other,,STUDENT,,4.39,19.24,307,9,272,4,13,9,0,0,291.0,2297992.89,16.0,522595.26,7896.882783505155,32662.20375,60,13,1,272.0,46.0,226.0,0.20353982300884957,44.0,0.14705882352941177,5814,5411,9.0,9.0,0.0,,2297992.89,522595.26,0.29789699830549504,0.3687255319176602,0.14630787037037038,22.149837133550488
SYNID0100011481,individual,AB,EDMONTON,,OTHER,,20.23,42.28,118,1,88,0,3,26,0,0,104.0,1148941.0,14.0,1262709.0,11047.509615384615,90193.5,24,13,1,88.0,9.0,79.0,0.11392405063291139,33.0,0.13636363636363635,5814,5541,1.0,0.0,1.0,0.0,1148941.0,1262709.0,0.7798304447610003,0.8068207330910986,0.5405324074074074,23.728813559322035
SYNID0100011849,individual,BC,SURREY,,OTHER,,15.38,35.45,24,2,4,0,11,7,0,0,12.0,178826.0,12.0,1377908.0,14902.166666666666,114825.66666666667,3,4,1,4.0,1.0,3.0,0.3333333333333333,4.0,0.25,5411,5541,2.0,2.0,0.0,,178826.0,1377908.0,3.7207477858293077,4.3156915822312785,1.8656944444444445,25.0
SYNID0100012045,individual,AB,EDMONTON,,65100,,25.02,62.12,68,1,46,0,21,0,0,0,52.0,197238.01,16.0,1415963.0,3793.038653846154,88497.6875,19,9,1,46.0,4.0,42.0,0.09523809523809523,20.0,0.21739130434782608,5814,5411,1.0,1.0,0.0,,197238.01,1415963.0,1.3150718629076839,1.5951179788730188,0.7515393518518518,27.941176470588236
SYNID0100012111,individual,NB,FREDERICTON,,11100,,1.45,35.71,146,7,102,1,34,2,0,0,124.0,776757.39,22.0,2090785.0,6264.1725,95035.68181818182,34,11,1,102.0,16.0,86.0,0.18604651162790697,26.0,0.2549019607843137,5814,5411,7.0,6.0,1.0,6.0,776757.39,2090785.0,0.6281668263090677,0.6023867013507701,0.4751736111111111,23.28767123287671
SYNID0100012205,individual,BC,VANCOUVER,,95109,,,45.4,91,1,65,0,19,6,0,0,77.0,771092.0,14.0,635051.0,10014.181818181818,45360.78571428572,23,10,1,65.0,10.0,55.0,0.18181818181818182,28.0,0.13846153846153847,5814,5411,1.0,1.0,0.0,,771092.0,635051.0,0.9951610082304526,1.1264282201391527,0.669068287037037,23.076923076923077
SYNID0100012410,individual,BC,VANCOUVER,,OTHER,,25.36,57.61,86,1,21,3,7,54,0,0,53.0,1240577.0,33.0,1816805.0,23407.11320754717,55054.69696969697,10,5,1,21.0,1.0,20.0,0.05,11.0,0.23809523809523808,5814,5411,1.0,1.0,0.0,,1240577.0,1816805.0,1.0786120642701527,1.2387517072575178,0.6372337962962963,24.418604651162788
SYNID0100012464,individual,other,other,,SELF_EMPLOYED,,18.67,30.72,30,2,7,1,6,14,0,0,22.0,321983.0,8.0,523180.0,14635.59090909091,65397.5,6,4,1,7.0,0.0,7.0,0.0,4.0,0.42857142857142855,5411,5814,2.0,2.0,0.0,,321983.0,523180.0,3.048237148786718,3.0327540994429314,2.0604976851851853,20.0
SYNID0100012512,individual,other,other,,RETIRED,,28.29,76.11,143,12,95,0,21,15,0,0,122.0,1057691.29,21.0,1012606.0,8669.600737704919,48219.333333333336,32,12,1,95.0,14.0,81.0,0.1728395061728395,24.0,0.17894736842105263,5411,5814,12.0,11.0,1.0,11.0,1057691.29,1012606.0,0.6419321368022952,0.6340311397796847,0.4415277777777778,25.174825174825177
SYNID0100012539,individual,BC,VANCOUVER,,20012,,26.33,68.52,7,0,0,1,1,5,0,0,4.0,38915.0,3.0,336708.0,9728.75,112236.0,0,0,0,,,,,,,,,,,,,38915.0,336708.0,12.949502314814815,8.169063656571009,11.649467592592593,14.285714285714285
SYNID0100013163,individual,AB,CALGARY,,10019,,3.26,27.2,192,0,157,3,17,15,0,0,172.0,1293156.0,20.0,1828951.0,7518.3488372093025,91447.55,37,10,1,157.0,18.0,139.0,0.12949640287769784,35.0,0.21019108280254778,5814,5411,,,,,1293156.0,1828951.0,0.4779454503587357,0.5433344789062158,0.2891435185185185,22.395833333333336
SYNID0100013722,individual,other,other,,OTHER,,28.54,64.54,106,0,76,4,26,0,0,0,81.0,542271.0,25.0,2365359.0,6694.7037037037035,94614.36,25,12,1,76.0,19.0,57.0,0.3333333333333333,26.0,0.18421052631578946,5814,5411,,,,,542271.0,2365359.0,0.8726143077601412,0.9751343681615016,0.6315509259259259,22.641509433962266
SYNID0100013886,individual,ON,BRAMPTON,,STUDENT,,1.5,20.44,366,0,351,0,0,15,0,0,360.0,2893685.0,6.0,684984.0,8038.013888888889,114164.0,65,13,1,351.0,30.0,321.0,0.09345794392523364,50.0,0.17094017094017094,5814,5411,,,,,2893685.0,684984.0,0.2493435755961441,0.3007975552573995,0.12305555555555556,18.579234972677597
SYNID0100014085,individual,other,other,,62024,,21.69,53.07,69,5,35,3,22,4,0,0,54.0,707385.02,15.0,1134264.0,13099.722592592592,75617.6,15,7,1,35.0,5.0,30.0,0.16666666666666666,16.0,0.2,5814,5411,5.0,5.0,0.0,,707385.02,1134264.0,1.3451281658496732,1.3168191664245852,0.8695081018518519,21.73913043478261
SYNID0100014233,individual,MB,WINNIPEG,,OTHER,,20.94,49.98,148,4,115,4,13,12,0,0,131.0,1417141.3900000001,17.0,1025222.0,10817.873206106871,60307.17647058824,33,11,1,115.0,14.0,101.0,0.13861386138613863,37.0,0.1826086956521739,5814,5411,4.0,4.0,0.0,,1417141.3900000001,1025222.0,0.6063868417737466,0.6657500514546227,0.47952546296296295,25.675675675675674
SYNID0100014489,individual,ON,BRADFORD,,STUDENT,,7.43,22.63,48,1,21,0,24,2,0,0,31.0,233754.45,17.0,1277191.0,7540.466129032258,75128.88235294117,13,5,1,21.0,3.0,18.0,0.16666666666666666,14.0,0.19047619047619047,5814,5541,1.0,1.0,0.0,,233754.45,1277191.0,1.8931858254531129,1.95770924284886,1.3465162037037037,22.916666666666664
SYNID0100014795,individual,BC,DELTA,,OTHER,,3.59,25.68,12,0,0,0,0,12,0,0,8.0,188626.0,4.0,295763.0,23578.25,73940.75,0,0,0,,,,,,,,,,,,,188626.0,295763.0,5.843661616161617,4.050722396316531,5.128043981481482,16.666666666666664
